CNJ,NATURE,SUBJECT,IsCriminal,JusticeSegmentVerifier,NatureVerifier,NatureVerifier2,SubjectVerifier,IsCriminalVerifier
0003903-70.2017.4.03.6000,60 . CARTA PRECATORIA,"CRIMES DE LAVAGEM OU OCULTACAO DE BENS, DIREITOS OU VALORES (LEI 9.613/98) - CRIMES PREVISTOS NA LEGISLACAO EXTRAVAGANTE - DIREITO PENAL",TRUE,ok,ok,no,ok,true
5009760-32.2020.8.24.0004,TERMO CIRCUNSTANCIADO -  Juizado Especial Criminal,,TRUE,ok,ok,ok,vazio,true
1003803-98.2020.8.26.0510,Petição Criminal,Petição intermediária,TRUE,ok,ok,ok,no,true
0007776-13.2016.8.12.0800,Auto de Prisão em Flagrante,Ameaça,TRUE,ok,ok,ok,ok,true
0000521-16.2022.8.05.0112,REPRESENTAÇÃO CRIMINAL,Ameaça  / Crimes contra a liberdade pessoal / DIREITO PENAL,TRUE,ok,ok,ok,ok,true
1001449-23.2019.8.11.0003,CARTA PRECATÓRIA CÍVEL (261),Atos executórios (11786),FALSE,ok,no,no,ok,true
5010035-58.2019.4.04.7003,PEDIDO DE LIBERDADE PROVISÓRIA COM OU SEM FIANÇA,"Contrabando (art. 334-A), Crimes praticados por particular contra a Administração em geral, DIREITO PENAL",TRUE,ok,ok,ok,ok,true
5002753-36.2019.4.04.7110,EXECUÇÃO PENAL,"Execução Penal e de Medidas Alternativas, DIREITO PROCESSUAL PENAL",TRUE,ok,ok,ok,ok,true
0001142-16.2018.8.16.0122,- Execução da Pena,7791 - Pena Privativa de Liberdade,FALSE,ok,ok,ok,ok,true
0001084-49.2011.4.01.3601,PROCEDIMENTO ESPECIAL DA LEI ANTITÓXICOS,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes de Tráfico Ilícito e Uso Indevido de Drogas (3607) - Tráfico de Drogas e Condutas Afins (3608,TRUE,ok,ok,ok,ok,true
0001084-49.2011.4.01.3601,PROCEDIMENTO ESPECIAL DA LEI ANTITÓXICOS,DIREITO PENAL (287) - Crimes Previstos na Legislação Extravagante (3603) - Crimes de Tráfico Ilícito e Uso Indevido de Drogas (3607) - Tráfico de Drogas e Condutas Afins (3608,TRUE,ok,ok,ok,ok,true
5533856-71.2020.8.09.0101,PROCESSO CRIMINAL -> Procedimentos Investigatórios -> Termo Circunstanciado,DIREITO PENAL -> Crimes contra a Organização do Trabalho -> Exercício de atividade com infração de decisão administrativa  - CP,TRUE,ok,ok,ok,ok,true
0000496-52.2021.8.17.2230,TERMO CIRCUNSTANCIADO,Difamação,TRUE,ok,ok,ok,ok,true
0803929-80.2022.4.05.8400,CARTA DE ORDEM CRIMINAL,"DIREITO PROCESSUAL PENAL
Jurisdição e Competência
Competência da Justiça Federal",TRUE,ok,ok,ok,ok,true
7000003-84.2019.8.26.0286,Agravo de Execução Penal,DIREITO PROCESSUAL PENAL-Execução Penal-Pena Privativa de Liberdade-Progressão de Regime,TRUE,ok,ok,ok,ok,true
0012490-59.2021.8.26.0506,Petição Criminal,Petição intermediária,TRUE,ok,ok,ok,no,true
